fname, entry_degree_within_sim, entry_degree_btw_sim, gender_within_sim, gender_btw_sim, total_income_within_sim, total_income_btw_sim, father_income_within_sim, father_income_btw_sim, mother_income_within_sim, mother_income_btw_sim
Eng55,0.16666666666666666, 0.16666666666666666, 1.0, 0.3333333333333333, 2.0000000000000004, 2.0, 1.3333333333333333, 1.125, 1.0, 1.1666666666666667
ICT55,0.16666666666666666, 0.20833333333333334, 0.7083333333333333, 0.6666666666666666, 2.125, 2.8958333333333335, 1.3333333333333335, 1.5208333333333333, 1.541666666666667, 2.0625
ICT56,0.13333333333333336, 0.24305555555555555, 0.95, 0.85, 2.0166666666666666, 2.4611111111111112, 1.2500000000000002, 1.5722222222222222, 1.1666666666666665, 1.2222222222222223
ICT57-All,0.4393939393939394, 0.2056818181818182, 0.893939393939394, 0.4590909090909091, 1.7121212121212119, 4.1863636363636365, 0.89393939393939414, 2.1477272727272729, 0.87878787878787878, 2.0909090909090908
Niti55,0.20370370370370372, 0.2916666666666667, 0.9444444444444444, 0.5277777777777778, 2.4444444444444446, 2.1666666666666665, 1.5555555555555556, 1.3506944444444444, 1.074074074074074, 1.0208333333333333
Niti56,0.19444444444444442, 0.2833333333333333, 1.0, 0.6666666666666666, 1.6944444444444446, 1.7749999999999999, 1.3333333333333333, 1.325, 1.0277777777777777, 1.0166666666666666
Nited56,0.09803921568627451, 0.21737132352941177, 0.6372549019607843, 0.48621323529411764, 2.4901960784313726, 2.1920955882352939, 1.1960784313725492, 1.0974264705882353, 1.6274509803921569, 1.4466911764705883
