Name, P-value
Nited56_bf.gml, 0.9971 0.9792
 HM Thai57_bf.gml, 0.1527 0.9873
 ICT55_bf.gml, 1.0000 0.9999
 HM Korea57_bf.gml, 0.9953 0.9889
 Niti55_bf.gml, 1.0000 0.7741
 Biz55_bf.gml, 0.9991 0.8003
 HM Act57_bf.gml, 0.5665 1.0000
 Niti56_bf.gml, 0.7621 1.0000
 ICT57-All_bf.gml, 1.0000 1.0000
 EC55_bf.gml, 1.0000 0.9984
 Ac57_bf.gml, 0.9790 1.0000
 ICT56_bf.gml, 0.9604 0.6252
 Eng55_bf.gml, 0.9998 0.6092
 
