Name, P-value
Niti56_friend.gml, 1.0000
 ICT55_friend.gml, 0.6510
 Eng55_friend.gml, 0.0647
 EC55_friend.gml, 0.9432
 HM Act57_friend.gml, 0.6880
 ICT56_friend.gml, 0.8975
 HM Thai57_friend.gml, 0.9991
 ICT57-All_friend.gml, 0.8032
 Biz55_friend.gml, 0.8926
 Nited56_friend.gml, 1.0000
 Niti55_friend.gml, 1.0000
 Ac57_friend.gml, 0.9443
 HM Korea57_friend.gml, 1.0000
 
