Name, P-value
Ac57_friend.gml, 0.9443
 ICT55_friend.gml, 0.6844
 ICT57-All_friend.gml, 0.9840
 HM Korea57_friend.gml, 1.0000
 Niti56_friend.gml, 1.0000
 EC55_friend.gml, 0.9001
 Eng55_friend.gml, 0.5497
 ICT56_friend.gml, 0.8975
 Biz55_friend.gml, 1.0000
 HM Act57_friend.gml, 0.6731
 Nited56_friend.gml, 1.0000
 Niti55_friend.gml, 0.9999
 HM Thai57_friend.gml, 0.9991
 
