
Indeg
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
HM Thai57_study.gml, 3.6300( 3.6300), 1.9200( 0.0000), 2.8480( 2.0183) 
 Eng55_study.gml, 3.5100( 3.5100), 2.5300( 0.0000), 2.9530( 2.6019) 
 Biz55_study.gml, 3.3500( 3.3500), 1.8900( 0.0000), 2.7850( 2.2874) 
 Nited56_study.gml, 3.3600( 3.8000), 1.7900( 0.0000), 2.5390( 2.3689) 
 EC55_study.gml, 3.8300( 4.0000), 2.2100( 0.0000), 3.1800( 2.9513) 
 ICT57-All_study.gml, 3.8800( 3.8800), 2.0000( 0.0000), 2.9450( 2.4503) 
 HM Korea57_study.gml, 3.8100( 3.8500), 2.0800( 0.0000), 3.0260( 2.5982) 
 Niti55_study.gml, 3.8600( 3.9600), 2.2700( 0.0000), 3.1940( 2.8225) 
 ICT56_study.gml, 3.6900( 4.0000), 1.8900( 0.0000), 2.7730( 2.4238) 
 Niti56_study.gml, 4.0000( 4.0000), 2.9700( 0.0000), 3.6450( 2.9450) 
 ICT57-V_study.gml, 3.1500( 3.1500), 1.5400( 0.0000), 2.5080( 2.2058) 
 Ac57_study.gml, 3.2500( 3.7100), 2.5400( 1.6700), 2.8590( 2.5351) 
 HM Act57_study.gml, 3.3800( 3.3800), 0.0000( 0.0000), 1.7740( 1.9759) 
 ICT55_study.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 ICT57_study.gml, 3.8800( 3.8800), 2.0800( 0.0000), 3.1040( 2.4204) 
 
