Name, P-value
ICT55_study.gml, 1.0000
 Nited56_study.gml, 0.9999
 Niti55_study.gml, 0.9775
 ICT57-V_study.gml, 1.0000
 ICT56_study.gml, 0.9655
 Ac57_study.gml, 1.0000
 ICT57_study.gml, 1.0000
 EC55_study.gml, 0.9715
 Niti56_study.gml, 0.9995
 ICT57-All_study.gml, 0.9635
 HM Act57_study.gml, 0.2494
 Biz55_study.gml, 0.9998
 Eng55_study.gml, 1.0000
 HM Thai57_study.gml, 0.9997
 HM Korea57_study.gml, 0.9989
 
