Name, P-value
HM Act57_bf.gml, 0.5665
 ICT57-V_bf.gml, 1.0000
 HM Thai57_bf.gml, 0.1527
 ICT55_bf.gml, 1.0000
 Biz55_bf.gml, 0.9991
 ICT56_bf.gml, 0.9604
 Nited56_bf.gml, 0.9999
 ICT57-All_bf.gml, 0.8963
 Eng55_bf.gml, 0.9998
 Ac57_bf.gml, 0.9790
 Niti56_bf.gml, 0.7621
 ICT57_bf.gml, 1.0000
 EC55_bf.gml, 1.0000
 Niti55_bf.gml, 1.0000
 HM Korea57_bf.gml, 0.9953
 
