
Indeg
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
 ICT55_bf.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 
Betweenness
GPA of top10: maxTopK(maxAll), minTopK(minAll), avgTopK(avgAll)
Niti55_bf.gml, 3.3900( 3.9600), 1.8600( 0.0000), 2.8430( 2.8225) 
 HM Thai57_bf.gml, 3.6300( 3.6300), 1.5000( 0.0000), 2.5580( 2.0183) 
 HM Korea57_bf.gml, 3.8500( 3.8500), 2.0800( 0.0000), 3.1830( 2.5982) 
 ICT57-All_bf.gml, 3.5000( 3.8800), 1.7500( 0.0000), 2.4630( 2.4503) 
 EC55_bf.gml, 4.0000( 4.0000), 2.2100( 0.0000), 3.1160( 2.9513) 
 Eng55_bf.gml, 3.3000( 3.5100), 2.3000( 0.0000), 2.7930( 2.6019) 
 ICT57-V_bf.gml, 3.1500( 3.1500), 1.5400( 0.0000), 2.4480( 2.2058) 
 HM Act57_bf.gml, 3.3800( 3.3800), 0.0000( 0.0000), 2.3430( 1.9759) 
 Biz55_bf.gml, 3.1300( 3.3500), 1.9900( 0.0000), 2.5270( 2.2874) 
 ICT57_bf.gml, 3.5000( 3.8800), 1.7500( 0.0000), 2.4380( 2.4204) 
 Niti56_bf.gml, 3.9800( 4.0000), 1.9500( 0.0000), 3.1460( 2.9450) 
 Ac57_bf.gml, 2.7500( 3.7100), 1.9600( 1.6700), 2.4270( 2.5351) 
 Nited56_bf.gml, 3.8000( 3.8000), 1.8600( 0.0000), 2.6800( 2.3689) 
 ICT56_bf.gml, 3.1300( 4.0000), 1.8900( 0.0000), 2.4870( 2.4238) 
 ICT55_bf.gml, 0.0000( 0.0000), 0.0000( 0.0000), 0.0000( 0.0000) 
 
