73VV8YCRAGYIY77L,True,False,2,Cell C,1.0.7 (1.2.56),2015-10-31 23:11:29,True,True,True,667,True,True,0,1,105.225.236.220,2015-10-31 23:11:29,True,iPhone 6,None,ios,9.0.2,None,True,False,None,375,True,True,2,2,120,1.6.4,Free,30,43
HJHBVFOIYVS6WL1I,False,False,0,VIVA,1.0.7 (1.2.56),2015-10-31 22:26:24,True,False,False,667,False,True,0,1,37.231.61.51,2015-10-31 22:26:24,True,iPhone 6,None,ios,9.1,2015-10-31 22:26:13,True,False,None,375,True,True,-1,0,180,1.6.4,Free,10,20
E6GFQU3KGFKFCG9G,False,False,0,Rogers,1.0.7 (1.2.56),2015-10-31 22:17:06,True,False,True,667,False,True,0,1,24.84.51.67,2015-10-31 22:17:06,True,iPhone 6,None,ios,8.4.1,2015-10-31 22:16:55,True,False,None,375,True,True,7,0,-480,1.6.4,Free,40,65
K5STU2F9KDRWWMCB,False,False,0,SFR,1.0.7 (1.2.56),2015-10-31 22:03:34,True,False,False,568,False,True,0,1,82.247.118.29,2015-10-31 22:03:34,True,iPhone 5s,None,ios,9.1,2015-10-31 22:03:22,True,False,None,320,True,False,0,0,60,1.6.4,Free,45,53
JDKVBEBJUR6A0ZGP,False,False,0,Other,1.0.7 (1.2.56),2015-10-31 19:33:30,True,False,True,480,False,True,0,1,72.53.140.86,2015-10-31 19:33:30,True,iPad Air,None,ios,9.0,2015-10-31 19:33:18,True,False,None,320,True,False,0,0,-240,1.6.4,Free,10,0
734U4Q8Y8G0SAEBC,False,False,0,AIS,1.0.7 (1.2.56),2015-10-31 15:52:31,True,False,False,480,False,True,0,1,49.229.41.25,2015-10-31 15:52:31,True,iPhone 4S,None,ios,7.1.2,2015-10-31 15:52:20,True,False,None,320,True,True,0,0,420,1.6.4,Free,10,0
6S7B6OGG6UWG8M4A,True,False,2,AirTel,1.0.7 (1.2.56),2015-10-31 15:41:33,True,False,True,568,False,True,0,1,106.194.66.30,2015-10-31 15:41:33,True,iPhone 5,None,ios,8.1.3,None,True,False,None,320,True,True,7,2,330,1.6.4,Free,20,35
28EVKKASB4RJTVE8,False,False,0,Orange France,1.0.7 (1.2.56),2015-10-31 12:23:14,True,True,True,568,None,True,0,1,200.69.229.233,2015-10-31 12:23:14,True,iPhone 5c,None,ios,9.0.2,2015-10-31 12:23:04,True,False,None,320,True,False,12,0,60,1.6.4,Free,10,0
CRSNTL7J59P6WQ55,False,False,0,OPTUS,1.0.7 (1.2.56),2015-10-31 11:49:04,True,False,False,736,False,True,0,1,220.240.122.29,2015-10-31 11:49:04,True,iPhone 6 Plus,None,ios,9.0.1,2015-10-31 11:50:49,True,False,None,414,True,True,-1,0,600,1.6.4,Free,10,40
1BZLL5H1VI50ITO7,True,False,2,Vodafone India,1.0.7 (1.2.56),2015-10-31 08:17:03,True,False,True,568,False,True,0,1,122.177.232.224,2015-10-31 08:17:03,True,iPhone 5s,None,ios,9.0,None,True,False,None,320,True,True,0,2,330,1.6.4,Free,14,14
5UXHZQR9FNUI3ADL,True,False,2,AirTel,1.0.7 (1.2.56),2015-10-31 06:21:14,True,True,True,568,None,True,0,1,223.176.153.206,2015-10-31 06:21:14,True,iPhone 5c,None,ios,9.1,None,True,False,None,320,True,False,5,2,330,1.6.4,Free,60,45
ER91MFU3HHE6WHAQ,True,False,2,AT&T,1.0.7 (1.2.56),2015-10-31 03:35:26,True,True,True,667,True,True,0,1,75.46.187.62,2015-10-31 03:35:26,True,iPhone 6,2015-11-14 15:09:26,ios,9.1,None,True,False,2015-11-14 15:09:26,375,True,False,0,2,-420,1.6.4,Free,10,0
E6TGGCYSTW597F3D,False,False,0,Singtel,1.0.7 (1.2.56),2015-10-31 02:17:09,True,False,False,736,False,True,0,1,138.75.249.102,2015-10-31 02:17:09,True,Unknown iPhone8,2 from StreetHawk,None,ios,9.1,2015-10-31 02:17:00,True,False,None,414,True,False,-1,0,480,1.6.4,Free,10,0
4BYNUA4HU2C219X6,False,False,0,voda AU,1.0.7 (1.2.56),2015-10-31 00:45:32,True,True,False,568,None,True,0,1,203.166.11.98,2015-10-31 00:45:32,True,iPhone 5s,None,ios,9.1,2015-10-31 00:46:00,True,False,None,320,True,False,8,0,660,1.6.4,Free,30,47
5O4GLUSI0I6PV50R,True,False,2,AIRCEL,1.0.7 (1.2.56),2015-10-30 20:23:42,True,False,True,480,False,True,0,1,14.139.238.50,2015-10-30 20:23:42,True,iPhone 4,None,ios,7.1.2,None,True,False,None,320,True,True,2,2,330,1.6.4,Free,40,40
3672MCSKG9R9B8L7,False,False,0,Zain SA,1.0.7 (1.2.56),2015-10-30 19:18:09,True,False,False,480,False,True,0,1,93.169.145.156,2015-10-30 19:18:09,True,iPhone 4,None,ios,7.1.2,2015-10-30 19:17:57,True,False,None,320,True,True,0,0,180,1.6.4,Free,10,0
LNCKZCLA7B89W4FH,False,False,0,Verizon,1.0.7 (1.2.56),2015-10-30 17:05:23,True,False,False,667,False,True,0,1,70.199.68.4,2015-10-30 17:05:23,True,iPhone 6,None,ios,9.0.2,2015-10-30 17:05:13,True,False,None,375,True,True,-1,0,-240,1.6.4,Free,10,10
FCIH59CYMY2B0QMJ,False,False,0,CMHK,1.0.7 (1.2.56),2015-10-30 15:57:13,True,False,False,667,False,True,0,1,59.149.190.48,2015-10-30 15:57:13,True,iPhone 6,None,ios,8.3,2015-10-30 15:57:03,True,False,None,375,True,False,4,0,480,1.6.4,Free,10,0
