ID, AllowPush, AdOptedIn, NumCampaignMatch, Carrier, AppVersion, AllowiBeacon, AllowGeo, AllowFeaturePush, ScreenHeight, AllowBT, HaveUniqueGlobalID, NumCrash, DailyUsage, "continent", LastUpdateDays, DeviceModel, BlockPushTF, BlockPushSameday, BlockPushAfter, OS, OSVersion, RevokePushTF, RevokePushBefore, RevokePushSameday, RevokePushAfter, SignIn, UninstalledTF, UninstalledSameday, UninstalledAfter, ScreenWidth, EmailExist, EmailAddress, InstallDays, PushCount, Timezone, UserType, Questions, CorrectQuestion
Z8UBFQ0F5DWFA4X, 1, 0, 0, EE, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, EU, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 29, 0, 0, Paid, 1939, 51
8MC6QGKW9LF8ZJZY, 0, 0, 0, iPad, 1071256, 1, 0, 0, 480, 0, 1, 0, 1, NA, -1, Unknown iPad5, 0, 0, 0, ios, 901, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 0, -7, Paid, 34, 79
4UB83XJGFJ18TS25, 1, 0, 1, T-Mobile, 1081259, 1, 1, 1, 375, 1, 1, 2, 1, NA, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 667, 1, 0, 40, 7, -6, Paid, 70, 40
FTGL96DSMEPE6V6P, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 5, 1, 0, 2, ios, 812, 0, 0, 0, 0, 1, 1, 0, 2, 320, 1, 0, 0, 0, 5, Paid, 568, 27
8QFZQIILTRLEOB36, 1, 0, 0, Other, 1061241, 1, 1, 1, 480, 0, 1, 0, 1, NA, -1, iPad 3, 0, 0, 0, ios, 710, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 16, 0, -5, Paid, 1996, 32
7LCSRL4MBH96LRIL, 1, 0, 0, Verizon, 1071256, 1, 1, 1, 667, 0, 1, 0, 1, NA, 0, Unknown iPhone8, 0, 0, 0, ios, 910, 1, 0, 0, 1, 1, 0, 0, 0, 375, 1, 1, 47, 0, -6, Paid, 504, 55
I9H83LEDSBBP7LBF, 1, 0, 0, Other, 1071256, 1, 1, 1, 480, None, 1, 0, 1, EU, 0, Unknown iPad5, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 35, 0, 1, Paid, 55, 4
9SZHAOYX93HNSPD7, 0, 0, 0, AT&T, 1061241, 1, 0, 1, 568, 0, 1, 0, 1, NA, -1, iPhone 5c, 0, 0, 0, ios, 840, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 0, -4, Paid, 264, 53
L7IGQCLRTVIM6W45, 0, 0, 0, Verizon, 1071256, 1, 1, 1, 667, None, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 43, 0, -5, Paid, 851, 41
D203AZLO2XEUOA7O, 1, 0, 0, Verizon, 1061241, 1, 1, 1, 568, 1, 1, 0, 1, NA, -1, iPhone 6 Plus, 1, 0, 15, ios, 901, 0, 0, 0, 0, 1, 1, 0, 15, 320, 1, 0, 2, 0, -5, Paid, 153, 76
2CZOOWS2RLBFTHNO, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, 0, 1, 1, 0, AS, -1, iPhone 5, 0, 0, 0, ios, 704, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 0, 0, 5, Paid, 911, 34
6AAYGXXN8XMCTQRP, 1, 0, 1, Verizon, 1061241, 1, 1, 1, 568, 1, 1, 0, 1, NA, -1, iPhone 6 Plus, 1, 0, 15, ios, 900, 0, 0, 0, 0, 1, 1, 0, 15, 320, 1, 0, 0, 1, -5, Paid, 153, 76
161B7HNY1G1FO5Q3, 1, 0, 5, movistar, 1071256, 1, 1, 1, 736, None, 1, 1, 1, EU, 0, iPhone 6 Plus, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 414, 1, 1, 51, 5, 2, Paid, 221, 62
7YUNCCR6655J1QCP, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 6 Plus, 1, 0, 43, ios, 811, 0, 0, 0, 0, 1, 1, 0, 43, 320, 1, 0, 0, 0, 5, Paid, 568, 27
LUW2T4TSHYVB959R, 1, 0, 0, T-Mobile NL, 1071256, 1, 1, 1, 667, None, 1, 0, 1, EU, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 43, 0, 1, Paid, 55, 4
4OE2ZJ3IJJ4GBSN1, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, 0, 1, 0, 0, AS, -1, iPhone 6, 0, 0, 0, ios, 830, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 0, 0, 5, Paid, 568, 27
1FWCGXYJ7GBNPOA4, 1, 0, 0, Verizon, 1071256, 1, 1, 1, 667, None, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 0, 58, 0, -5, Paid, 892, 58
1TVM7VCR1R4FKAJD, 1, 0, 17, Vodacom, 1071256, 1, 1, 1, 667, None, 1, 0, 1, AF, 0, iPhone 6, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 52, 17, 2, Paid, 300, 57
8X50ED5EW06LC6IW, 0, 0, 0, Rogers, 1061241, 1, 0, 1, 568, 0, 1, 0, 0, NA, -1, iPhone 6, 0, 0, 0, ios, 841, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, -1, 0, -4, Paid, 10, 70
DKMG7NU4U3L5E5IM, 1, 0, 0, OPTUS, 1071256, 1, 1, 1, 568, 0, 1, 1, 1, OC, -1, iPhone 5, 0, 0, 0, ios, 901, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 14, 0, 10, Paid, 3843, 41
7OIEC2XMIXHWGJUR, 1, 0, 0, Vodafone India, 1061241, 1, 1, 1, 568, None, 1, 3, 0, AS, -1, iPhone 6, 1, 1, 0, ios, 830, 0, 0, 0, 0, 1, 1, 1, 0, 320, 1, 0, 0, 0, 5, Paid, 911, 34
