ID, AllowPush, AdOptedIn, NumCampaignMatch, Carrier, AppVersion, AllowiBeacon, AllowGeo, AllowFeaturePush, ScreenHeight, AllowBT, HaveUniqueGlobalID, NumCrash, DailyUsage, "continent", LastUpdateDays, DeviceModel, BlockPushTF, BlockPushSameday, BlockPushAfter, OS, OSVersion, RevokePushTF, RevokePushBefore, RevokePushSameday, RevokePushAfter, SignIn, UninstalledTF, UninstalledSameday, UninstalledAfter, ScreenWidth, EmailExist, EmailAddress, InstallDays, PushCount, Timezone, UserType, Questions, CorrectQuestion
E59HFOZLWK05ZGXQ, 1, 0, 0, OPTUS, 1071256, 1, 0, 1, 480, 0, 1, 0, 1, OC, 8, Unknown iPad2, 0, 0, 0, ios, 710, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 1, 0, 11, Paid, 1598, 54
DV41GPZ6NAWQPWL, 1, 0, 0, Rogers, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, NA, 10, iPhone 6, 0, 0, 0, ios, 840, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 1, 7, 0, -8, Paid, 230, 59
6WQKASNF1WRF2N3Q, 1, 0, 0, O2, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, EU, 0, iPhone 5s, 1, 0, 1, ios, 910, 0, 0, 0, 0, 1, 1, 0, 1, 320, 1, 1, 0, 0, 0, Paid, 630, 14
2XOADEKB6RN1WKKE, 1, 0, 0, Vodafone India, 1071256, 1, 1, 1, 568, None, 1, 0, 1, AS, 8, iPhone 5, 0, 0, 0, ios, 704, 0, 0, 0, 0, 1, 0, 0, 0, 320, 1, 0, 8, 0, 5, Paid, 911, 34
HK1VG2YRSTK3SDYW, 1, 0, 0, Vodafone India, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, AS, 0, iPhone 6, 0, 0, 0, ios, 830, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 0, 4, 0, 5, Paid, 568, 27
6PO82MAZ2U1SW5BX, 0, 0, 0, AT&T, 1071256, 1, 0, 0, 667, 0, 1, 0, 1, NA, 0, iPhone 6, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 1, 0, -7, Paid, 615, 64
67R21UBP0NU43MZ8, 0, 0, 0, Verizon, 1071256, 1, 0, 1, 568, 0, 1, 0, 1, NA, 11, iPhone 5c, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 0, 11, 0, -5, Paid, 707, 49
LUT27HIP9N4C32JH, 0, 0, 0, Singtel, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, AS, 12, iPhone 6, 0, 0, 0, ios, 813, 1, 1, 0, 0, 1, 0, 0, 0, 375, 1, 1, 12, 0, 8, Paid, 250, 64
AC85DGPC9H5GQPN, 1, 0, 1, dtac, 1071256, 1, 0, 1, 667, 0, 1, 0, 1, AS, 12, Unknown iPhone8, 0, 0, 0, ios, 910, 0, 0, 0, 0, 1, 0, 0, 0, 375, 1, 1, 12, 1, 7, Paid, 164, 38
KK4P8JNOPWX50VRM, 0, 0, 0, Other, 1071256, 1, 0, 0, 480, 0, 1, 0, 1, NA, 0, iPad Air, 0, 0, 0, ios, 910, 1, 1, 0, 0, 1, 0, 0, 0, 320, 1, 1, 0, 0, -7, Paid, 615, 64
